City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Negombo,LK,7.21,79.84,80.6,83,20,5.82,few clouds
348,Qasigiannguit,GL,68.82,-51.19,41.0,86,75,9.17,light rain
349,Grindavik,IS,63.84,-22.43,44.6,65,40,9.17,scattered clouds
350,Emerald,AU,-23.53,148.17,57.2,93,35,4.7,scattered clouds
351,Sangar,RU,63.92,127.47,52.07,80,92,10.31,overcast clouds
352,Dandong,CN,40.13,124.39,60.6,89,1,6.42,clear sky
353,Cagdianao,PH,9.92,125.67,82.18,79,22,4.27,few clouds
354,Verkhnevilyuysk,RU,63.45,120.32,54.95,81,95,4.12,overcast clouds
355,Gornopravdinsk,RU,60.05,69.9,45.79,77,97,9.33,overcast clouds
356,Vardo,NO,70.37,31.11,59.0,82,75,5.82,broken clouds
357,Palmas,BR,-10.21,-48.36,93.2,28,94,5.82,overcast clouds
358,Mwinilunga,ZM,-11.74,24.43,61.61,38,0,5.17,clear sky
359,Pryamitsyno,RU,51.66,35.93,68.0,33,100,8.95,light rain
360,Baherden,TM,38.44,57.43,77.81,18,7,2.86,clear sky
361,Bocas Del Toro,PA,9.33,-82.25,70.0,75,0,5.28,clear sky
362,Narsaq,GL,60.92,-46.05,46.4,93,100,3.36,heavy intensity drizzle
